step_a,step_b,mean_kl_divergence,mean_wasserstein_distance
0,5,0.004263830871954235,0.011781679240706699
0,0,0.0,0.0
0,10,0.012380671946070378,0.023389011118770422
0,15,0.02271331380854779,0.034511718989353554
0,20,0.0347424976615153,0.045042954069648686
0,25,0.0482338694443865,0.054958901079963235
0,30,0.06303437081843247,0.06406522272646038
0,35,0.07917861846512714,0.07231084247663909
0,40,0.09662644267740055,0.0794456667432598
0,45,0.1154244060566663,0.08530421278211807
0,50,0.13559901084127188,0.08973233355353862
0,60,0.18097906992364665,0.09558038322099674
0,55,0.1574581039676059,0.09304552560444751
0,65,0.20655447024012344,0.09777838709214154
0,70,0.2345143250904097,0.09986108494178922
0,75,0.26530624242150097,0.10220659642437704
0,80,0.29974969499905163,0.10493764177708843
0,85,0.339204265595513,0.10832567832797181
0,90,0.38550401504270454,0.11270738309972426
0,95,0.44402690567283387,0.11805868055555556
