,Step,Noise Level,Score
0,0,0.0,0.5057107634269274
1,5,0.05263157894736842,0.5032082012830636
2,10,0.10526315789473684,0.5001169263552396
3,15,0.15789473684210525,0.496358973857684
4,20,0.21052631578947367,0.4909281990466974
5,25,0.2631578947368421,0.48484409696016556
6,30,0.3157894736842105,0.48144000386580443
7,35,0.3684210526315789,0.47875076952653056
8,40,0.42105263157894735,0.47674357967498976
9,45,0.47368421052631576,0.47439179321130115
10,50,0.5263157894736842,0.4678071779318345
11,55,0.5789473684210527,0.462256405215997
12,60,0.631578947368421,0.4490194870875432
13,65,0.6842105263157895,0.43575692558899903
14,70,0.7368421052631579,0.4170010269452364
15,75,0.7894736842105263,0.3957476925391417
16,80,0.8421052631578947,0.36911281790488804
17,85,0.8947368421052632,0.33015692539704145
18,90,0.9473684210526315,0.27286564291287685
19,95,1.0,0.21407692688397867
